unique_sciname,unique_common_name
podocarpus spp,NA
caryota urens,NA
cydonia oblonga,NA
acer hybrid,NA
schefflera spp,NA
echium candicans,NA
acacia baileyana,alaska willow
abelia x grandiflora,alaska willow
liquidambar,sweetgum
acer x freemanii ,coast live oak
acer buergeranum,arizona white oak
NA,redwood
NA,allegheny chinkapin
magnolia grandiflora ,coast live oak
acca sellowiana,alpine larch
acer campestre,littletree willow
zelkova serrata,turkey oak
platanus racemosa,sycamore
acer campestre,alligator juniper
acer campestre,american beech
NA,arizona pine
acer x freemanii ,sweetgum
NA,ashe juniper
NA,glossy buckthorn
ulmus wilsoniana ,NA
lophostemon confertus ,variegated brisbane box
ulmus parvifolia ,drake elm
erythrina caffra,kaffirboom coral tree
liquidambar styraciflua,american sweetgum
melaleuca citrina,lemon bottlebrush
cedrus atlantica ,cedar blue atlas
ficus microcarpa ,indian laurel fig
afrocarpus macrophyllus,yew pine
hesperocyparis macrocarpa,monterey cypress
tree site deleted,tree site deleted
metrosideros excelsus,new zealand christmas tree
lagerstroemia indica ,white crape myrtle
melaleuca viminalis,weeping bottlebrush
washingtonia filifera x robusta,filibuster hybrid fan palm
agonis flexuosa,peppermint tree
resident refusal,resident refusal
platanus mexicana,mexican sycamore
ficus rubiginosa,rusty leaf fig
tipuana tipu,tipu
construction site,construction site
platanus x hispanica ,bloodgood plane
tree site does not exist,tree site does not exist
eucalyptus deglupta,mindanao gum
angophora costata,gum myrtle
strelitzia nicolai,giant bird of paradise
afrocarpus elongatus ,NA
handroanthus impetiginosus,pink trumpet tree
afrocarpus falcatus,african fern pine
prosopis glandulosa,mesquite
platanus x hispanica ,columbia plane
tristaniopsis laurina,water gum
platanus x hispanica,london plane
parkinsonia x ,desert museum palo verde
brachychiton rupestris,queensland bottle tree
refer to corrridor specific plan,refer to corridor specific plan
archontophoenix alexandrae,alexandra palm
eucalyptus nicholii,nichols willow leafed peppermint
corymbia papuana,ghost gum
eucalyptus pulverulenta,silver mountain gum
lagerstroemia indica ,red crape myrtle
prosopis chilensis,chilean mesquite
prunus cerasifera ,plum krauters vesuvius
ficus elastica,rubber tree
cercidium spp.,palo verde
ficus benjamina ,chinese weeping banyan
pittosporum crassifolium,karo
handroanthus chrysotrichus,golden trumpet tree
eucalyptus diversicolor,karri tree
eucalyptus leucoxylon ,NA
eucalyptus rudis,desert gum
robinia ambigua ,idaho locust
lagerstroemia indica ,pink crape myrtle
platanus x hispanica ,yarwood plane
magnolia spp.,magnolia species
howea forsteriana,paradise palm
ficus spp.,fig
calodendrum capense,cape chestnut
tabebuia umbellata,yellow trumpet tree
acacia longifolia,sydney golden wattle
roystonea regia,cuban royal palm
phoenix reclinata,senegal palm
eugenia aggregata,cherry of the rio grande
schefflera actinophylla,queensland umbrella tree
acacia spp.,acacia species
lagerstroemia indica ,dynamite crape myrtle
citrus spp.,citrus
lagerstroemia indica ,muskogee crape myrtle
morus spp.,mulberry species
dodonaea viscosa,hopseed
allocasuarina verticillata,NA
palm spp.,palm
acacia podalyriifolia,pearl acacia
ilex altaclarensis ,wilson holly
magnolia champaca,champaca
brahea armata,mexican blue palm
acacia baileyana ,purple acacia
eucalyptus cornuta,yate
erythrina coralloides,naked coral tree
lagerstroemia indica ,purple crape myrtle
yucca spp.,yucca species
eucalyptus amplifolia,cabbage gum
cyathea cooperi,australian tree fern
livistona chinensis,chinese fountain palm
agathis robusta,queensland kauri
phoenix roebelenii,pygmy date palm
eucalyptus spp.,eucalyptus
taxodium huegelii,mexican cypress
acacia melanoxylon,black acacia
citrus aurantifolia,lime tree
liquidambar styraciflua ,palo alto sweetgum
eucalyptus robusta,swamp mahogony
callistemon spp.,bottlebrush
afrocarpus falcatus,fern pine
persea spp.,avocado species
eucalyptus grandis,flooded gum
acmena smithii,NA
pinus roxburghii,chir pine
ficus macrophylla,moreton bay fig
ficus microcarpa,weeping indian laurel fig
viburnum spp.,viburnum
pittosporum tobira,mock orange
duranta repens,brazilian sky flower
ficus microcarpa ,green gem indian laurel fig
melaleuca spp.,melaleuca
acca sellowiana,pineapple guava
melaleuca genistifolia,melaleuca decora
leptospermum spp.,tea tree
cercis spp.,redbud
ficus lyrata,fiddleleaf fig
eucalyptus cinerea,ash gum
cedrus atlantica ,cedar weeping
cupressus glabra,smoothbark arizona cypress
caesalpinia gilliesii,bird of paradise bush
erythrina bidwillii,bidwills coral tree
citrus sinensis,orange
malus sylvestris,edible apple
catalpa hybrida,hybrid catalpa
prunus spp.,stone fruit
prunus lusitanica,portugal laurel
musa spp.,banana species
cercidium floridum,blue palo verde
cedrus spp.,cedar
acacia auriculiformis,NA
acer paxii,acer paxii
cycas spp.,sago palm spp.
cryptomeria japonica,japanese cedar
liquidambar formosana,chinese sweetgum
nolina recurvata,ponytail palm
myrtus communis,true myrtle
persea borbonia,red bay
harpephyllum caffrum,kaffir plum
rhus laurina,laurel sumac
bauhinia blakeana,hong kong orchid tree
carica papaya,papaya
casimiroa edulis,white sapote
howea belmoreana,sentry palm
cupressocyparis x leylandii,leyland cypress
ravenea rivularis,majesty palm
zelkova serrata,sawtooth zelkova
asphalted well,asphalted well
eucalyptus globulus ,dwarf blue gum
eucalyptus lehmannii,bushy yate
cercis canadensis texensis,texas redbud
malus floribunda,crabapple
auranticarpa rhombifolium,queensland pittosporum
quillaja saponaria,soapbark tree
cocculus laurifolius,NA
cercis canadensis var. mexicana,mexican redbud
radermachera sinica,china doll
melia azedarach,chinaberry
prunus ilicifolia ssp lyonii,catalina cherry
tecoma stans,yellow elder
pittosporum viridiflorum,cape pittosporum
cordyline australis,dracaena
melaleuca armillaris,drooping melaleuca
pyrus calleryana ,aristocrat pear
brahea aculeata,sinaloa hesper palm
persea indica,madeira bay fig
acer miyabei ,mybe st st maple
phellodendron amurense his maj,amur hs mj corktr
u. jap x pumila ,vanguard elm
a. x arnoldiana,aut sp bukeye
q. robur x macrocarpa ,heritage oak
amelanchier x grandiflora,aut bril serbry
celtis occidentalis,freeman mapl
celtis occidentalis,norway mapl
u. pumila x jap ,new horizon elm
tilia americana,amer rdmnd linden
ulmus species,vanguard elm
gleditsia triacanthos shadem,honeylcst shdmstr
acer platanoides,norway mapl
fraxinus pennsylvanica marsh,gr mrshl sdls ash
picea glauca var. densata,blk hills spruce
malus fruit,apple
acer platanoides schwedleri,nwy schewdlr mapl
fraxinus pennsylvanica summt,gr summit ash
acer ginnala,amur mapl
fraxinus pennsylvanica patmr,gr patmore ash
malus,crabappl
ulmus species,elm spp
salix pentandra,laurl lef willow
populus deltoides,siouxl poplar
acer negundo,boxelder mapl
acer saccharinum,silver mapl
gingko biloba,ginkgo
acer saccharum,sugar mapl
acer freemanii,frman aut bl mapl
u. jap x wil ,accolade elm
NA,cockspur hawthn
fraxinus pennsylvanica cimaron,gr cimmaron ash
acer platanoides,frman aut bl mapl
tilia americana fastigata,amer fastg linden
quercus x warei ,reg prin oak
acer freemanii,freeman mapl
acer platanoides ,nwy crmsn kg mapl
malus species,crabapple spp
juniperus species,juniper spp
acer platanoides,sugar mapl
pseudotsuga menziesii,blk hills spruce
u. davidiana var japonica,discovery elm
populus tremuloides,quak aspen
acer saccharum legacy,sug legacy mapl
acer saccharum legacy,freeman mapl
acer freemanii,sug legacy mapl
crataegus x mordenensis,morden toba hawth
syringa reticulata,jap tree lilac
zelkova serrata,jap tree lilac
quercus species,northern red oak
populus deltoides,eastrn cottonwood
acer saccharum,norway mapl
gleditsia triacanthos ,honeylcst nth acl
fraxinus pennsylvanica summt,norway mapl
acer saccharum,silver mapl
quercus bicolor,bur oak
prunus maacki,amur chokecherry
acer platanoides variegated,nwy varigate mapl
ginkgo biloba autumn gold,autmn gld ginkgo
u. jap x wil ,danada charm elm
acer saccharum,frman aut bl mapl
acer saccharum,freeman mapl
robinia pseudoacacia p robe,blk pur rb locust
acer platanoides,amur mapl
acer species,freeman mapl
cladrastis kentukea,amer yellowwood
picea meyeri,meyer spruce
acer glabrum,rocky mtn mapl
gleditsia triacanthos shadem,norway mapl
phellodendron amurense his maj,frman aut bl mapl
q. robur x macrocarpa ,norway mapl
acer platanoides columnar,nwy columnar mapl
crataegus species,hawthn spp
gleditsia triacanthos ,honeylcst skyline
acer saccharum fall fiesta,sug fal fies mapl
morus alba ,mulbry weeping
acer platanoides princeton gld,nwy prin gld mapl
salix alba ,niobe tris willow
prunus species,plum spp
salix matsudana tortuosa,corkscrew willow
gymnocladus dioicus sty manor,kntky coff  st mr
acer rubrum,red mapl
acer platanoides emrld queen,nwy emrld qn mapl
fraxinus americana autmn prp,wh aut purple ash
acer saccharinum silvr queen,silv silv qu mapl
acer saccharum ,sugar swtshd mapl
gleditsia triacanthos ,honeylcst imperia
sorbus aucuparia,european mtn ash
fraxinus americana autmn blz,wh aut blaze ash
cotinus obovatus ,american royal purple smoketree
fraxinus mandshurica,manchurian ma ash
fraxinus manchurian x nigra,north treas ash
acer negundo sensation,bxeldr sensa mapl
tilia spp,linden spp
platanus x acerifolia,london plan blood
corylus colurna,turkish hazeluut
acer freemannii sienna glen,frman se gln mapl
prunus virginiana,shubert chokchry
celtis occidentalis pra senti,prai sent hkbry
acer freemanii celebration,frman celebr mapl
quercus species,oak spp
tilia tomentosa,silver gm linden
wilsoniana ,wilson prpct elm
gleditsia triacanthos ,freeman mapl
tilia tomentosa,linden spp
wilsoniana ,freeman mapl
wilsoniana ,maple spp
gleditsia triacanthos ,sugar mapl
tilia tomentosa,freeman mapl
tilia tomentosa,frman aut bl mapl
tilia tomentosa,mybe st st maple
gleditsia triacanthos ,mybe st st maple
tilia tomentosa,norway mapl
acer ginnala,amur flame mapl
prunus virginiana canada red,canad rd chokchry
salix species,willow spp
aesculus x,homstd buckeye
prunus cerasus north star,north star cherry
pyrus species,pear spp
prunus cerasus,cherry
acer rubrum autumn radiance,red atum rad mapl
fraxinus species,ash spp
acer species,maple spp
fraxinus pennsylvanica,gr summit ash
magnolia species,magnolia spp
malus,crabappl prair fr
acer nigrum,boxelder mapl
fraxinus americana,green ash
fraxinus pennsylvanica fthill,gr fthill ash
acer saccharum green mountn,sug grn mtn mapl
cladrastis kentuckea,amr perk p yelwod
abies concolor ,white swfsil fir
quercus ellipsoides,northern red oak
quercus ellipsoides,swamp white oak
quercus ellipsoides,northern pin oak
cercidiphyllum japonicum,katsura
populus x canadensis,nor
alnus glutinosa,black alder
picea mariana,black spurce
americana,american plum
rhamns cathartica,com bucktrn
acer rubrum autumn spire,red aut spir mapl
acer platanoides deborah,nwy deborah mapl
tilia cordata,reenspir linden
picea omorika,scotch pine
ulmus americana princeton,elm amer princton
tilia americana,frtyard linden
acer platanoides emrld lustr,nwy emld lst mapl
tilia tomentosa,silv ster linden
fraxinus pennsylvanica prair,gr prairie sp ash
gingko biloba princeton sentry,gingko prin sntry
sorbus alnifolia,korean mtn ash
acer freemanni bailson,frm matador mapl
acer nigrum,black mapl
malus,crabappl centurin
magnolia kobus var sellata,roy str magnola
pyrus ussuriensis,urrn mtn frt pear
tsuga canadensis,canadian hemlock
juniperus scopulorum,rockymt jun
magnolia x loebneri,balernia magnola
thuja occidentalis,rushmore arbor
juniperus virginiana,juniper
pinus parviflora,jap white pine
pinus koraiensis,korean pine
abies balsamea,balsm fir
pinus pungens,blue hoopsi sp
picea mariana,blk spruce
cartaegus ambigua,russian hawtrn
catalpa ovata,ovata catalpa
larix laricina,am larch
acer tataricum,tatar mpl
carpinus caroliniana,blue beech
malus,pur pri crabappl
titia american,am sentry linden
gymnocladus dioicus,kntky coftre
populus hybrid,hyb poplar
malus,crabappl pinkspir
acer pseudosieboldianum,korean maple
acer species,frman aut bl mapl
acer freemanii,sugar mapl
acer freemanii,norway mapl
acer palmatum,mapl jap
malus sargentii,crabappl
magnolia x ,magnolia 
malus,crabappl sugartym
acer triflorum,threeflowr maple
chionanthus virginicus,wh fringetree
acer saccharium hybrid,silver hyb maple
acer species,sugar mapl
magnolia species,norway mapl
acer species,norway mapl
acer negundo,green ash
sorbus quercifolia,oak leaf mtn ash
pinus contorta,lodgpole pine
prunus cerasus,black cherry
ulmus american,valley forge elm
magnolia x loebneri merrill,merrill magnolia
ulmus x,cathedral elm
quercus ellipsoides,bur oak
quercus species,heritage oak
continus coggygria,smk tree
gymnocladus dioicus,kntkycoftre tru n
pinus sylvestris,mongolian scotch pine
sylvvestris ,mongolian scotch pine
platanus x acerifolia,london plan excla
tilia americana,blvd linden
pinus sylvestris,white pine
tilia americana,swamp white oak
larix spp,larch spp
NA,royrdrp crabappl
amelanchier spp,serviceberry
tilia mongolica,mongolian linden
rhamnus cathartica,com bucktrn
juglans cinerea,black walnut
picea abies,colorado spruce
picea pungens,austrian pine
malus sp,crabapple spp
rhus typhina,skunkbush sumac
acer platanoides ,nwy columnar mapl
juglans nigra,green ash
prunus species,shubert chokchry
prunus virginiana,canad rd chokchry
acer rubrum,amur mapl
acer platanoides crimson kng,nwy crmsn kg mapl
sorbus americana,european mtn ash
acer species,silver mapl
fraxinus species,white ash
acer freemanii,swamp white oak
ulmus species,american elm
acer rubrum autumn radiance,amur flame mapl
fraxinus pennsylvanica,oak spp
fraxinus pennsylvanica summt,ash spp
fraxinus pennsylvanica,ash spp
ulmus pumila,new horizon elm
quercus coccinea,oak spp
abies concolor,bur oak
acer platanoides,maple spp
fraxinus pennsylvanica,boxelder mapl
celtis occidentalis,green ash
acer saccharinum,freeman mapl
acer freemanii,american linden
americana,bur oak
quercus x macdanielli,heritage oak
quercus x warei ,oak spp
alnus histora,black alder
pinus parviflora glauca,NA
sorbus hybrida,oak leaf mtn ash
malus spp,crabappl
sorbus hybrida,pagoda dogwood
tilia mongolica,linden spp
magnolia x loebneri,merrill magnolia
aesculus x,ohio buckeye
tilia mongolica,frtyard linden
tilia mongolica,blvd linden
cladrastis kentuckea,amer yellowwood
sorbus aucuparia,oak leaf mtn ash
tilia mongolica ,harvest gold linden
sorbus aucuparia,oakleaf mountian ash
gleditsia tricanthos ,honeylcst nth acl
cercis canadensis,eastern redcedar
gingko biloba princeton sentry,ginkgo
picea pungens,blk hills spruce
a. x arnoldiana,ohio buckeye
malus,crabapple spp
acer freemanii,maple spp
picea pungens,blue hoopsi sp
populus deltoides,eastern redcedar
picea glauca var. densata,blk spruce
celtis occidentalis ,chicagolnd hkbry
populus hybrid,gr cimmaron ash
picea glauca var. densata,black spurce
acer ginnala,maple spp
acer platanoides,red mapl
acer freemanii,frm matador mapl
tilia cordata,frtyard linden
pinus sylvestris,austrian pine
acer saccharinum,maple spp
malus fruit,apple sp
gymnocladus dioicus,kntky coftree esp
quercus species,northern pin oak
ginkgo biloba autumn gold,ginkgo
prunus virginiana,black cherry
ginkgo biloba lakeview,ginkgo
malus spp.,crabapple spp.
prunus species,black cherry
aesculus hippocastanum ,horsechestnut
magnolia acuminata ,cucumbertree yellow bird magnolia
ulmus parvifolia ,lacebark elm
aesculus pavia,red buckeye
quercus mongolica,mongolian oak
acer platanoides,crimson king norway maple
occidentalis,common hackberry
fraxinus pennsylvanica prair,green ash
acer freemanii,freeman maple
ulmus ,accolade elm
acer platanoides ,crimson king norway maple
crataegus spp.,hawthorn spp.
triadica sebifera,chinese tallow
acer platinoides,norway maple
betula papyrifera,white birch
maclura pomifera ,white shield osage orange
amelanchier laevis ,snowcloud allegheny serviceberry
taxodium distichum ,shawnee brave baldcypress
ulmus species,new horizon elm
zelkova serrata ,japanese zelkova
sorbus aucuparia,korean mtn ash
maackia amurensis,cucumbertree yellow bird magnolia
populus grandidentata,common hackberry
populus grandidentata,autmn gld ginkgo
populus grandidentata,northern catalpa
sorbus aucuparia,korean maple
salix alba ,golden willow
quercus ellipsoides,heritage oak
gymnocladus dioicus,kntky coff  st mr
quercus rubra,scarlet oak
fraxinus americana,gr summit ash
acer freemanii celebration,freeman mapl
ulmus pumila,common hackberry
quercus bicolor,reg prin oak
acer platanoides crimson kng,maple spp
quercus palustris,swamp white oak
sorbus x hybrida,oakleaf mountian ash
ulmus americana,silver mapl
acer saccharinum,silver hyb maple
abies concolor ,elm spp
picea abies,meyer spruce
acer platanoides crimson kng,norway mapl
malus spp,crabapple spp
tilia cordata,american linden
acer rubrum,maple spp
acer platanoides,silver mapl
quercus species,maple spp
prunus species,cherry
picea glauca var. densata,colorado spruce
acer freemannii sienna glen,maple spp
fraxinus pennsylvanica marsh,green ash
ulmus species,accolade elm
gleditsia triacanthos,honeylcst skyline
juniperus species,eastern redcedar
aesculus hippocastanum ,ohio buckeye
fraxinus species,green ash
gingko biloba,autmn gld ginkgo
fraxinus ornus,obelisk
fraxinus ornus,airy peters
robinia pseudoacacia,inermis
magnolia,vulcan
alnus papyrifera,NA
prunus sargentii,rancho
acer miyabei,rugged ridge
acer truncatum,norwegian sunset
fraxinus americana,autumn applause
nyssa sylvatica,after burner
liquidambar styraciflua,worplesdon
acer truncatum,pacific sunset
aesculus hippocastanum,baumannii
fraxinus pennsylvanica,airy peters
pinus parviflora,templeton
fraxinus pennsylvanica,cimmaron
pinus nigra,select green
taxodium distichum,shawnee brave
acer campestre,red shine
acer campestre,queen elizabeth
fraxinus pennsylvanica,prairie spire
quercus alba x robur,crimson spire
liriodendron tulipifera,arnold
quercus frainetto,forest green
fraxinus ornus,urban bouquet
fagus sylvatica,dawych gold
pinus flexilis,vanderwolfs pyramid
tilia x euchlora,NA
fagus sylvatica,fastigiata
parrotia persica,inges ruby vase
malus x zumi,calocarpa
cornus kousa x nutalii,starlight
thuja plicata,excelsa
acer campestre,panack
malus fusca,NA
carpinus betulus,emerald avenue
aesculus x carnea,briotii
fraxinus pennsylvanica,marshall
nyssa sylvatica,red rage
carpinus betulus,globosa
styrax japonica,snowcone
cladrastis dioicus,espresso
fagus sylvatica,dawych purple
zelcova serrata,green vase
cornus kousa,satomi
pinus contorta,contorta
thuja plicata,excelsior
acer platanoides,conquest
tilia cordata,chancellor
gleditsia triacanthos,draves
ulmus davidiana,brandon
parrotia persica,vanessa
thuja exelsior,NA
magnolia,galaxy
fagus sylvatica,cuprea
amelanchier x grandiflora,autumn brilliance
cornus x rutgan,stellar pink
magnolia,yellow bird
fraxinus pennsylvanica,prairie gold
fagus sylvatica,riversii
pinus flexilis,vanderwolf
fraxinus exelsior,westhofs glory
magnolia sieboldii,NA
cornus x rutdan,celestial
magnolia,caerhays belle
acer palmatum,autumn gold
fraxinus oxycarpa,raywood
nyssa sylvatica,wildfire
prunus serrulata,akebono
acer palmatum,bloodgood
cornus x rutban,aurora
quercus robur x macrocarpa,heritage oak
cornus nuttallii,eddies white wonder
quercus alba x robur,skinny genes
fagus sylvatica,purple fountain
pinus parvifolia,tempelhof
carpinus betulus,lucas
serrata,green vase
fagus sylvatica,dawych
cornus mas,golden glory
quercus macrocarpa,cobblestone
pinus strobus,pendula
cornus kousa,chinensis
prunus emarginata,NA
platanus x acerifolia,bloodgood
carpinus,NA
prunus serrulata,ukon
pinus parviflora,tempelhof
acer platanoides,conzam
zelkova serrata,village green
quercus palustris,crown right
styrax japonica,emerald pagoda
cornus,ruth ellen
fagus sylvatica,asplenifolia
quercus x watereri,regal prince
acer palmatum,shojo
prunus,padus
acer cappadocicum,rubrum
betula nigra,dura heat
acer platanoides,easy street
prunus cerasifera,nigra
pinus thundbergii,NA
chamaecyparis nootkatensis,pendula
crataegus persimillis,splendens
fraxinus pennsylvanica,johnson
fraxinus americana,empire
ulmus americana,autumn applause
prunus serrulata,amanogawa
acer platanoides,queen elizabeth
nyssa sylvatica,forum
cornus x rutlan,ruth ellen
pyrus calleryana,redspire
acer rubrum,red pointe
robinia pseudoacacia,tortuosa
acer rubrum,sun valley
chamaecyparis obtusa,glauca pendula
acer pseudoplatanus,atropurpureum
crataegus crusgalli,inermis
acer platanoides,bowhall
sorbus sitchensis,NA
quercus x bimundorum,midwest
malus pumila,fameuse
malus pumila,bismark
cornus,eddies white wonder
cedrus atlantica,glauca
malus pumila,muscadet de dieppe
malus pumila,king of tompkins
thuja plicata,zebrina
acer palmatum,atropurpureum
ulmus,discovery
fraxinus exelsior,golden desert
pyrus calleryana,chanticleer
picea,pyramidalis
prunus,amanogawa
prunus serrulata,shirotae
fruit tree,NA
cornus x rutban,ruth ellen
liriodendron tulipifera,fastigiatum
quercus palustris,worplesdon
taxus baccata,fastigiata
prunus serrata,NA
thuja menziesii,NA
magnolia,forrests pink
acer campestre,emerald queen
salix x sepulcralis,chrysocoma
magnolia,sundance
cladastris lutea,NA
chamaecyparis lawsoniana,hillieri
acer platanoides,autumn gold
fraxinus pennsylvanica,autumn purple
chamaecyparis obtusa,pendula
ulmus americana,discovery
picea orientalis,aurea
cornus alba,aurea
quercus alba x robur,crimschmidt
sequoia giganteum,NA
ulmus,brandon
prunus x blireiana,NA
magnolia,stellata
acer rubrum,scarlet sentinel
magnolia,elizabeth
cornus florida,rubra
cornus nuttallii,gold spot
nyssa sylvatica,tupelo tower
malus,rudolph
acer platanoides,red sunset
gleditsia trichocarpa,draves
ginkgo biloba,saratoga
pterocarya,NA
halesia monticola,NA
chamaecyparis obtusa,gracilis
cornus kousa,cherokee chief
magnolia kobus,galaxy
fagus sylvatica,autumn purple
ginkgo biloba,princeton gold
fraxinus sylvatica,dawych purple
abies amabilis,NA
carpinus carolina,NA
acer truncatum x platanoides,warren red
fraxinus pennsylvanica,bergeson
fagus,dawych
prunus cerasifera,thundercloud
magnolia,wadas memory
chamaecyparis pisifera,filifera
cercis japonicum,NA
acer pseudoplatanus,spaethii
abies lasciocarpa,NA
prunus serrulata,rancho
acer x freemanii,autumn flame
cornus kousa,starlight
fraxinus americana,fairview
magnolia,iolanthe
aesculus hippocastanum,briotii
acer saccharinum,skinneri
fagus sylvatica,atropurpurea
metasequoia glyptostroboides,jade prince
fraxinus americana,autumn blaze
fraxinus amabilis,autumn purple
pseudotsuga menziesii,cimmaron
fraxinus pennsylvanica,urbanite
fraxinus americana,cimmaron
metasequoia,jade prince
quercus x scarlet letter,NA
wisteria floribunda,NA
quercus robur,regal prince
cornus x rutgan,celestial
tsuga,NA
acer x freemanii,autumn applause
fraxinus pennsylvanica,leprechaun
populus balsamifera ssp trichocarpa,NA
quercus rubra,aurea
pinus wallichiana,NA
acer palmatum,butterflies
chamaecyparis obtusa,eracilis
carya,NA
chamaecyparis lawsoniana,lutea
magnolia x loebneri,merrill
magnolia,serene
picea flexilis,vanderwolfs pyramid
quercus rubra,fastigiata
sorbus americana,red cascade
acer palmatum,sieryu
acer campestre,superform
taxodium,shawnee brave
malus yunnanensis,veitchii
acer platanoides,autumn blaze
liquidambar styraciflua,golddust
corylus avellana,contorta
pinus flexilis,tempelhof
pinus parvifolia,templeton
picea omorika,brun
sequoiadendron,NA
picea glauca,hudsonii
cornus x rutban,starlight
xcupressocyparis leylandii,NA
acer rubrum,autumn blaze
carpinus betulus,purpureum
sorbus aria,lutescens
pseudotsuga mollis,NA
nothofagus pumilo,NA
maackia amurensis,maacnificent
pyrus calleryana,aristocrat
carpinus betulus,akebono
prunus subhirtella,autumnalis
acer rubrum,conzam
pseudotsuga menziesii,red sunset
thuja heterophylla,NA
fraxinus americana,junginger
pyrus communis,flemish beauty
malus pumila,rhode island greening
acer palmatum,osakazuki
carpinus betulus,easy street
picea abies,pyramidalis
robinia pseudoacacia,globosa
cornus kousa,galzam
carpinus japonica,marshall
pinus tabulaeformis,NA
betula pendula,laciniata
tilia cordata,redmond
pinus parvifolia,vanderwolf
gleditsia triacanthos,frisia
pterocarya stenoptera,NA
quercus palustris,green vase
cercidiphyllum japonicum,deborah
taxus brevifolia,NA
crataegus laevigata,pauls scarlet
aesculus hippocastanum,pyramidalis
pinus flexilis,arnold sentinel
sorbus x thuringiacia fastigiata,NA
quercus palustris,fastigiata
picea glauca,foxtail
acer rubrum,norwegian sunset
fagus sylvatica,prairie spire
picea likiangensis,purpurea
acer capillipes,NA
amelanchier grandiflora,autumn brilliance
gleditsia triacanthos,wildfire
cornus kousa,stellar pink
acer pennsylvanica,cimmaron
styrax japonicum,snowcone
fraxinus americana,patmore
hibiscus,coelestis
cercidiphyllum japonica,red fox
cercis canadensis,vanessa
quercus,crimschmidt
nyssa,NA
salix matsudano,NA
acer truncatum x platanoides,pacific sunset
cupressus,NA
styrax,NA
malus sieboldii,NA
magnolia kobus,wadas memory
fraxinus sylvatica,purpurea
nyssa sylvatica,vanessa
gleditsia truncatum,autumn purple
quercus coccinea,rubrum
cornus,satomi
aesculus arnoldiana,autumn splendor
quercus palustris,skinny genes
acer truncatum,halka
gleditsia triacanthos,norwegian sunset
nyssa sylvatica,gum drop
fraxinus pennsylvanica,autumn applause
picea omorika,blue boy
magnolia sargentiana,robusta
cupressus nootkatensis,NA
tilia tomentosa,green mountain
ginkgo bicolor,princeton sentry
cedrus atlantica,glauca pendula
tsuga holoophylla,NA
quercus frainetto,crimson sentry
quercus sylvatica,NA
aesculus x freemanii,autumn blaze
carpinus japonica,globosa
tilia americana,pendula
malus pumila,winter banana
pyrus communis,bartlett
malus pumila,cox
malus pumila,spencer
sorbus aucuparia,pendula
cedrus atlantica,aurea
gleditsia triacanthos,inermis
cladrastis kentukea,patmore
pseudotsuga plicata,NA
quercus alba x robur,golden glory
magnolia,butterflies
cornus kousa x nutalii,ruth ellen
carpinus betulus,purpurea
sequoiadendron giganteum,pendula
cornus nuttallii,starlight
nothofagus antarctica,NA
salix,prairie cascade
carpinus japonica,fastigiata
betula utilis,NA
quercus,forest green
zelkova serrulata,green vase
fraxinus,autumn applause
acer griseum,discovery
quercus bicolor,brandon
cornus x rutban,stellar pink
ulmus americana,pioneer
quercus glauca,NA
cornus mas,variegata
cornus rutgan,stellar pink
sorbus serotina,NA
fraxinus sieboldiana,NA
pinus nigra,red sunset
thuja plicata,vanessa
fraxinus x carnea,briotii
acer saccharinum,skinners cutleaf
chamaecyparis lawsoniana,erecteverdis
acer campestre,red sunset
cornus kousa,aurora
acer pisifera,royal red
zelcova serrata,village green
carpinus japonicum,NA
fraxinus pennsylvanicum,NA
pinus nigra,forest green
fagus americana,NA
carpinus japonica,lucas
magnolia grandiflora,victoria
fagus sylvatica,pendula
crataegus x lavallei,redspire
acer carpinifolium,NA
betula populifera,NA
betula pubescens,NA
fraxinus coccinea,NA
malus pumila,vanderpool
ostrya carpinifolia,NA
pseudotsuga,NA
prunus serrulata,shogetsu
prunus x schmittii,NA
acer platanoides,globosa
populus triacanthos,NA
magnolia abies,galaxy
calocedrus kentukea,NA
acer rubrum,burgandy belle
cercidiphyllum japonicum,prairie spire
fraxinus americana,prairie spire
gleditsia triacanthos,prairie spire
thujopsis dolobrata,variegata
rhamnus,NA
abies nordmanniana,NA
chamaecyparis obtusa,aurea
stewartia,NA
pinus jeffreyii,NA
acer truncatum,warren red
ulmus davidii,discovery
fraxinus sylvatica,dawych gold
cercis canadensis,avondale
crataegus lavelleii,airy peters
corylus,tetra red
catalpa erubescens,purpurea
malus pumila,wolf river
malus pumila,st. edmunds
malus pumila,peasgood nonsuch
juglans sieboldiana,NA
carpinus japonica,snowcone
ulmus americana,pendula
picea abies,nana pendula
crataegus x grandiflora,NA
thuja dolobrata,NA
sciadopitys verticillata,NA
fagus sylvatica,purpureum
eucommia kentukea,NA
aesculus hippocastanum,fort mcnair
fraxinus sylvatica,cimmaron
pyrus salicifolia,pendula
picea abies,pendula
acer saccharinum,laciniata
fagus orientalis,NA
quercus robur,skinny genes
chamaecyparis pisifera,gold spangle
ulmus pumilo,NA
acer triacanthos,halka
nyssa sylvatica,espresso
fraxinus americana,brandon
magnolia,golden pond
acer platanoides,brandon
prunus,accolade
pinus strobus,contorta
fagus sylvatica,autumn brilliance
davidia davidiana,discovery
taxodium dioicus,shawnee brave
chamaecyparis lawsoniana,blue jacket
catalpa bignonoides,aurea
malus pumila,ashmead
malus pumila,jonagold
