unique_sciname,unique_common_name,genus_name,species_name
prunus serrata,,prunus,serrata
thuja menziesii,,thuja,menziesii
magnolia,forrests pink,NA,NA
acer campestre,emerald queen,acer,campestre
salix x sepulcralis,chrysocoma,salix,sepulcralis
magnolia,sundance,NA,NA
cladastris lutea,,cladastris,lutea
chamaecyparis lawsoniana,hillieri,chamaecyparis,lawsoniana
acer platanoides,autumn gold,acer,platanoides
fraxinus pennsylvanica,autumn purple,fraxinus,pennsylvanica
chamaecyparis obtusa,pendula,chamaecyparis,obtusa
ulmus americana,discovery,ulmus,americana
picea orientalis,aurea,picea,orientalis
cornus alba,aurea,cornus,alba
quercus alba x robur,crimschmidt,quercus,alba
sequoia giganteum,,sequoia,giganteum
ulmus,brandon,NA,NA
prunus x blireiana,,prunus,blireiana
magnolia,stellata,NA,NA
acer rubrum,scarlet sentinel,acer,rubrum
magnolia,elizabeth,NA,NA
cornus florida,rubra,cornus,florida
cornus nuttallii,gold spot,cornus,nuttallii
nyssa sylvatica,tupelo tower,nyssa,sylvatica
malus,rudolph,NA,NA
acer platanoides,red sunset,acer,platanoides
gleditsia trichocarpa,draves,gleditsia,trichocarpa
ginkgo biloba,saratoga,ginkgo,biloba
pterocarya,,NA,NA
halesia monticola,,halesia,monticola
chamaecyparis obtusa,gracilis,chamaecyparis,obtusa
cornus kousa,cherokee chief,cornus,kousa
magnolia kobus,galaxy,magnolia,kobus
fagus sylvatica,autumn purple,fagus,sylvatica
ginkgo biloba,princeton gold,ginkgo,biloba
fraxinus sylvatica,dawych purple,fraxinus,sylvatica
abies amabilis,,abies,amabilis
carpinus carolina,,carpinus,carolina
acer truncatum x platanoides,warren red,acer,truncatum
fraxinus pennsylvanica,bergeson,fraxinus,pennsylvanica
fagus,dawych,NA,NA
prunus cerasifera,thundercloud,prunus,cerasifera
magnolia,wadas memory,NA,NA
chamaecyparis pisifera,filifera,chamaecyparis,pisifera
cercis japonicum,,cercis,japonicum
acer pseudoplatanus,spaethii,acer,pseudoplatanus
abies lasciocarpa,,abies,lasciocarpa
prunus serrulata,rancho,prunus,serrulata
acer x freemanii,autumn flame,acer,freemanii
cornus kousa,starlight,cornus,kousa
fraxinus americana,fairview,fraxinus,americana
magnolia,iolanthe,NA,NA
aesculus hippocastanum,briotii,aesculus,hippocastanum
acer saccharinum,skinneri,acer,saccharinum
fagus sylvatica,atropurpurea,fagus,sylvatica
metasequoia glyptostroboides,jade prince,metasequoia,glyptostroboides
fraxinus americana,autumn blaze,fraxinus,americana
fraxinus amabilis,autumn purple,fraxinus,amabilis
pseudotsuga menziesii,cimmaron,pseudotsuga,menziesii
fraxinus pennsylvanica,urbanite,fraxinus,pennsylvanica
fraxinus americana,cimmaron,fraxinus,americana
metasequoia,jade prince,NA,NA
quercus x scarlet letter,,quercus,scarlet
wisteria floribunda,,wisteria,floribunda
quercus robur,regal prince,quercus,robur
cornus x rutgan,celestial,cornus,rutgan
tsuga,,NA,NA
acer x freemanii,autumn applause,acer,freemanii
fraxinus pennsylvanica,leprechaun,fraxinus,pennsylvanica
populus balsamifera ssp trichocarpa,,populus,balsamifera
quercus rubra,aurea,quercus,rubra
pinus wallichiana,,pinus,wallichiana
acer palmatum,butterflies,acer,palmatum
chamaecyparis obtusa,eracilis,chamaecyparis,obtusa
carya,,NA,NA
chamaecyparis lawsoniana,lutea,chamaecyparis,lawsoniana
magnolia x loebneri,merrill,magnolia,loebneri
magnolia,serene,NA,NA
picea flexilis,vanderwolfs pyramid,picea,flexilis
quercus rubra,fastigiata,quercus,rubra
sorbus americana,red cascade,sorbus,americana
acer palmatum,sieryu,acer,palmatum
acer campestre,superform,acer,campestre
taxodium,shawnee brave,NA,NA
malus yunnanensis,veitchii,malus,yunnanensis
acer platanoides,autumn blaze,acer,platanoides
liquidambar styraciflua,golddust,liquidambar,styraciflua
corylus avellana,contorta,corylus,avellana
pinus flexilis,tempelhof,pinus,flexilis
pinus parvifolia,templeton,pinus,parvifolia
picea omorika,brun,picea,omorika
sequoiadendron,,NA,NA
picea glauca,hudsonii,picea,glauca
cornus x rutban,starlight,cornus,rutban
xcupressocyparis leylandii,,xcupressocyparis,leylandii
acer rubrum,autumn blaze,acer,rubrum
carpinus betulus,purpureum,carpinus,betulus
sorbus aria,lutescens,sorbus,aria
pseudotsuga mollis,,pseudotsuga,mollis
nothofagus pumilo,,nothofagus,pumilo
maackia amurensis,maacnificent,maackia,amurensis
pyrus calleryana,aristocrat,pyrus,calleryana
carpinus betulus,akebono,carpinus,betulus
prunus subhirtella,autumnalis,prunus,subhirtella
acer rubrum,conzam,acer,rubrum
pseudotsuga menziesii,red sunset,pseudotsuga,menziesii
thuja heterophylla,,thuja,heterophylla
fraxinus americana,junginger,fraxinus,americana
pyrus communis,flemish beauty,pyrus,communis
malus pumila,rhode island greening,malus,pumila
acer palmatum,osakazuki,acer,palmatum
carpinus betulus,easy street,carpinus,betulus
picea abies,pyramidalis,picea,abies
robinia pseudoacacia,globosa,robinia,pseudoacacia
cornus kousa,galzam,cornus,kousa
carpinus japonica,marshall,carpinus,japonica
pinus tabulaeformis,,pinus,tabulaeformis
betula pendula,laciniata,betula,pendula
tilia cordata,redmond,tilia,cordata
pinus parvifolia,vanderwolf,pinus,parvifolia
gleditsia triacanthos,frisia,gleditsia,triacanthos
pterocarya stenoptera,,pterocarya,stenoptera
quercus palustris,green vase,quercus,palustris
cercidiphyllum japonicum,deborah,cercidiphyllum,japonicum
taxus brevifolia,,taxus,brevifolia
crataegus laevigata,pauls scarlet,crataegus,laevigata
aesculus hippocastanum,pyramidalis,aesculus,hippocastanum
pinus flexilis,arnold sentinel,pinus,flexilis
sorbus x thuringiacia fastigiata,,sorbus,thuringiacia
quercus palustris,fastigiata,quercus,palustris
picea glauca,foxtail,picea,glauca
acer rubrum,norwegian sunset,acer,rubrum
fagus sylvatica,prairie spire,fagus,sylvatica
picea likiangensis,purpurea,picea,likiangensis
acer capillipes,,acer,capillipes
amelanchier grandiflora,autumn brilliance,amelanchier,grandiflora
gleditsia triacanthos,wildfire,gleditsia,triacanthos
cornus kousa,stellar pink,cornus,kousa
acer pennsylvanica,cimmaron,acer,pennsylvanica
styrax japonicum,snowcone,styrax,japonicum
fraxinus americana,patmore,fraxinus,americana
hibiscus,coelestis,NA,NA
cercidiphyllum japonica,red fox,cercidiphyllum,japonica
cercis canadensis,vanessa,cercis,canadensis
quercus,crimschmidt,NA,NA
nyssa,,NA,NA
salix matsudano,,salix,matsudano
acer truncatum x platanoides,pacific sunset,acer,truncatum
cupressus,,NA,NA
styrax,,NA,NA
malus sieboldii,,malus,sieboldii
magnolia kobus,wadas memory,magnolia,kobus
fraxinus sylvatica,purpurea,fraxinus,sylvatica
nyssa sylvatica,vanessa,nyssa,sylvatica
gleditsia truncatum,autumn purple,gleditsia,truncatum
quercus coccinea,rubrum,quercus,coccinea
cornus,satomi,NA,NA
aesculus arnoldiana,autumn splendor,aesculus,arnoldiana
quercus palustris,skinny genes,quercus,palustris
acer truncatum,halka,acer,truncatum
gleditsia triacanthos,norwegian sunset,gleditsia,triacanthos
nyssa sylvatica,gum drop,nyssa,sylvatica
fraxinus pennsylvanica,autumn applause,fraxinus,pennsylvanica
picea omorika,blue boy,picea,omorika
magnolia sargentiana,robusta,magnolia,sargentiana
cupressus nootkatensis,,cupressus,nootkatensis
tilia tomentosa,green mountain,tilia,tomentosa
ginkgo bicolor,princeton sentry,ginkgo,bicolor
cedrus atlantica,glauca pendula,cedrus,atlantica
tsuga holoophylla,,tsuga,holoophylla
quercus frainetto,crimson sentry,quercus,frainetto
quercus sylvatica,,quercus,sylvatica
aesculus x freemanii,autumn blaze,aesculus,freemanii
carpinus japonica,globosa,carpinus,japonica
tilia americana,pendula,tilia,americana
malus pumila,winter banana,malus,pumila
pyrus communis,bartlett,pyrus,communis
malus pumila,cox,malus,pumila
malus pumila,spencer,malus,pumila
sorbus aucuparia,pendula,sorbus,aucuparia
cedrus atlantica,aurea,cedrus,atlantica
gleditsia triacanthos,inermis,gleditsia,triacanthos
cladrastis kentukea,patmore,cladrastis,kentukea
pseudotsuga plicata,,pseudotsuga,plicata
quercus alba x robur,golden glory,quercus,alba
magnolia,butterflies,NA,NA
cornus kousa x nutalii,ruth ellen,cornus,kousa
carpinus betulus,purpurea,carpinus,betulus
sequoiadendron giganteum,pendula,sequoiadendron,giganteum
cornus nuttallii,starlight,cornus,nuttallii
nothofagus antarctica,,nothofagus,antarctica
salix,prairie cascade,NA,NA
carpinus japonica,fastigiata,carpinus,japonica
betula utilis,,betula,utilis
quercus,forest green,NA,NA
zelkova serrulata,green vase,zelkova,serrulata
fraxinus,autumn applause,NA,NA
acer griseum,discovery,acer,griseum
quercus bicolor,brandon,quercus,bicolor
cornus x rutban,stellar pink,cornus,rutban
ulmus americana,pioneer,ulmus,americana
quercus glauca,,quercus,glauca
cornus mas,variegata,cornus,mas
cornus rutgan,stellar pink,cornus,rutgan
sorbus serotina,,sorbus,serotina
fraxinus sieboldiana,,fraxinus,sieboldiana
pinus nigra,red sunset,pinus,nigra
thuja plicata,vanessa,thuja,plicata
fraxinus x carnea,briotii,fraxinus,carnea
acer saccharinum,skinners cutleaf,acer,saccharinum
chamaecyparis lawsoniana,erecteverdis,chamaecyparis,lawsoniana
acer campestre,red sunset,acer,campestre
cornus kousa,aurora,cornus,kousa
acer pisifera,royal red,acer,pisifera
zelcova serrata,village green,zelcova,serrata
carpinus japonicum,,carpinus,japonicum
fraxinus pennsylvanicum,,fraxinus,pennsylvanicum
pinus nigra,forest green,pinus,nigra
fagus americana,,fagus,americana
carpinus japonica,lucas,carpinus,japonica
magnolia grandiflora,victoria,magnolia,grandiflora
fagus sylvatica,pendula,fagus,sylvatica
crataegus x lavallei,redspire,crataegus,lavallei
acer carpinifolium,,acer,carpinifolium
betula populifera,,betula,populifera
betula pubescens,,betula,pubescens
fraxinus coccinea,,fraxinus,coccinea
malus pumila,vanderpool,malus,pumila
ostrya carpinifolia,,ostrya,carpinifolia
pseudotsuga,,NA,NA
prunus serrulata,shogetsu,prunus,serrulata
prunus x schmittii,,prunus,schmittii
acer platanoides,globosa,acer,platanoides
populus triacanthos,,populus,triacanthos
magnolia abies,galaxy,magnolia,abies
calocedrus kentukea,,calocedrus,kentukea
acer rubrum,burgandy belle,acer,rubrum
cercidiphyllum japonicum,prairie spire,cercidiphyllum,japonicum
fraxinus americana,prairie spire,fraxinus,americana
gleditsia triacanthos,prairie spire,gleditsia,triacanthos
thujopsis dolobrata,variegata,thujopsis,dolobrata
rhamnus,,NA,NA
abies nordmanniana,,abies,nordmanniana
chamaecyparis obtusa,aurea,chamaecyparis,obtusa
stewartia,,NA,NA
pinus jeffreyii,,pinus,jeffreyii
acer truncatum,warren red,acer,truncatum
ulmus davidii,discovery,ulmus,davidii
fraxinus sylvatica,dawych gold,fraxinus,sylvatica
cercis canadensis,avondale,cercis,canadensis
crataegus lavelleii,airy peters,crataegus,lavelleii
corylus,tetra red,NA,NA
catalpa erubescens,purpurea,catalpa,erubescens
malus pumila,wolf river,malus,pumila
malus pumila,st. edmunds,malus,pumila
malus pumila,peasgood nonsuch,malus,pumila
juglans sieboldiana,,juglans,sieboldiana
carpinus japonica,snowcone,carpinus,japonica
ulmus americana,pendula,ulmus,americana
picea abies,nana pendula,picea,abies
crataegus x grandiflora,,crataegus,grandiflora
thuja dolobrata,,thuja,dolobrata
sciadopitys verticillata,,sciadopitys,verticillata
fagus sylvatica,purpureum,fagus,sylvatica
eucommia kentukea,,eucommia,kentukea
aesculus hippocastanum,fort mcnair,aesculus,hippocastanum
fraxinus sylvatica,cimmaron,fraxinus,sylvatica
pyrus salicifolia,pendula,pyrus,salicifolia
picea abies,pendula,picea,abies
acer saccharinum,laciniata,acer,saccharinum
fagus orientalis,,fagus,orientalis
quercus robur,skinny genes,quercus,robur
chamaecyparis pisifera,gold spangle,chamaecyparis,pisifera
ulmus pumilo,,ulmus,pumilo
acer triacanthos,halka,acer,triacanthos
nyssa sylvatica,espresso,nyssa,sylvatica
fraxinus americana,brandon,fraxinus,americana
magnolia,golden pond,NA,NA
acer platanoides,brandon,acer,platanoides
prunus,accolade,NA,NA
pinus strobus,contorta,pinus,strobus
fagus sylvatica,autumn brilliance,fagus,sylvatica
davidia davidiana,discovery,davidia,davidiana
taxodium dioicus,shawnee brave,taxodium,dioicus
chamaecyparis lawsoniana,blue jacket,chamaecyparis,lawsoniana
catalpa bignonoides,aurea,catalpa,bignonoides
malus pumila,ashmead,malus,pumila
malus pumila,jonagold,malus,pumila
malus pumila,rowlatt,malus,pumila
malus pumila,northern spy,malus,pumila
fraxinus pennsylvanica,green vase,fraxinus,pennsylvanica
magnolia liliflora,nigra,magnolia,liliflora
alnus rubrum,,alnus,rubrum
ilex aquifolium,variegata,ilex,aquifolium
populus beronlinesis,,populus,beronlinesis
acer x freemanii,autumn purple,acer,freemanii
acer,globosum,NA,NA
crataegus x lavallei,pauls scarlet,crataegus,lavallei
ginkgo bicolor,autumn gold,ginkgo,bicolor
quercus alba,crimschmidt,quercus,alba
acer rubrum,worplesdon,acer,rubrum
prunus serrulata,shirofugen,prunus,serrulata
acer platanoides,pacific sunset,acer,platanoides
ulmus parvifolia,variegata,ulmus,parvifolia
acer pseudoplatanus,atropurpurea,acer,pseudoplatanus
tsuga heterophylla,pendula,tsuga,heterophylla
cornus controversa,variegata,cornus,controversa
malus hupehensis,,malus,hupehensis
populus tremuloides,prairie gold,populus,tremuloides
acer platanoides,cimmaron,acer,platanoides
magnolia x euchlora,,magnolia,euchlora
crataegus,galaxy,NA,NA
cornus x rutlan,aurora,cornus,rutlan
styrax platanoides,globosum,styrax,platanoides
pinus sylvestris,excelsa,pinus,sylvestris
malus pumila,grime,malus,pumila
malus pumila,emneth early,malus,pumila
malus pumila,gilliflower of glouce,malus,pumila
abies alba,,abies,alba
larix leptolepis x decidua,,larix,leptolepis
abies procera,,abies,procera
acer platanoides,autumn purple,acer,platanoides
liriodendron japonicum,,liriodendron,japonicum
cercidiphyllum magnificum,,cercidiphyllum,magnificum
pseudotsuga menziesii,zebrina,pseudotsuga,menziesii
acer rubra,karpick,acer,rubra
cedrus libani,glauca pendula,cedrus,libani
acer rubrum,somerset,acer,rubrum
magnolia kousa,galaxy,magnolia,kousa
picea abies,fat albert,picea,abies
betula parviflora,,betula,parviflora
carpinus betulus,atropurpureum,carpinus,betulus
acer griseum,autumn applause,acer,griseum
fagus sylvatica,atropurpureum,fagus,sylvatica
sequoiadendron giganteum,pendulum,sequoiadendron,giganteum
cercidiphyllum,,NA,NA
ilex,variegata,NA,NA
cornus florida,cherokee chief,cornus,florida
stewartia pseudoacacia,,stewartia,pseudoacacia
sorbus araucana,,sorbus,araucana
fraxinus,autumn purple,NA,NA
pinus avium,,pinus,avium
cedrus americana,,cedrus,americana
abies x freemanii,autumn blaze,abies,freemanii
metasequoia glyptostroboides,shademaster,metasequoia,glyptostroboides
acer hippocastanum,baumannii,acer,hippocastanum
magnolia,frontier,NA,NA
fraxinus pennsylvanica,emerald queen,fraxinus,pennsylvanica
stewartia japonica,,stewartia,japonica
pyrus communis,colette,pyrus,communis
carpinus betulus,pendula,carpinus,betulus
malus pumila,schmidtberger,malus,pumila
malus pumila,berner rosen,malus,pumila
malus pumila,gravenstein,malus,pumila
symplocos paniculata,,symplocos,paniculata
hydrangea,,NA,NA
cladrastis kentukea,espresso,cladrastis,kentukea
cladrastis kentukea,fairview,cladrastis,kentukea
acer palmatum,royal red,acer,palmatum
prunus,pink perfection,NA,NA
magnolia denudata,variegata,magnolia,denudata
acer pseudoplatanus,variegata,acer,pseudoplatanus
cercis racemosa,,cercis,racemosa
ulmus glabra,lutescens,ulmus,glabra
parrotia persica,vanderwolfs pyramid,parrotia,persica
cornus kousa x nutalii,satomi,cornus,kousa
acer platanoides,prairie gold,acer,platanoides
acer platanoides,prairie spire,acer,platanoides
acer saccharinum,cutleaf silver maple,acer,saccharinum
gleditsia triacanthos,shademaster honeylocust,gleditsia,triacanthos
carpinus betulus,pyramidal european hornbeam,carpinus,betulus
tilia euchlora   x,crimean linden,tilia,euchlora
hibiscus syriacus,rose of sharon,hibiscus,syriacus
acer rubrum,bowhall red maple,acer,rubrum
crataegus mordensis,toba hawthorn,crataegus,mordensis
syringa reticulata,tree lilac,syringa,reticulata
platanus acerifolia   x,london plane tree,platanus,acerifolia
acer platanoides,columnar norway maple,acer,platanoides
fraxinus pennsylvanica,patmore ash,fraxinus,pennsylvanica
fraxinus oxycarpa,caucasian ash,fraxinus,oxycarpa
acer freemanii   x,armstrong red maple,acer,freemanii
fraxinus excelsior,golden desert ash,fraxinus,excelsior
prunus serrulata,kwanzan flowering cherry,prunus,serrulata
fraxinus oxycarpa,gold cloud ash,fraxinus,oxycarpa
acer platanoides,schwedler norway maple,acer,platanoides
fraxinus americana,autumn applause ash,fraxinus,americana
crataegus oxyacantha,english hawthorn,crataegus,oxyacantha
prunus serrulata,ukon japanese cherry,prunus,serrulata
acer rubrum,brandywine red maple,acer,rubrum
malus yunnanensis,yunnanensis crabapple,malus,yunnanensis
acer pseudoplatanus,purple leaf sycamore maple,acer,pseudoplatanus
prunus cerasifera,pissard plum,prunus,cerasifera
prunus cerasifera,night purple leaf plum,prunus,cerasifera
acer rubrum,october glory red maple,acer,rubrum
prunus sargentii,sargent flowering cherry,prunus,sargentii
cornus racemosa,grey dogwood,cornus,racemosa
prunus sargentii,rancho sargent cherry,prunus,sargentii
prunus simonii,appricot plum,prunus,simonii
fagus sylvatica,tricolor beech,fagus,sylvatica
acer macrophyllum,bigleaf maple,acer,macrophyllum
prunus padus,european birdcherry,prunus,padus
ulmus glabra,scots elm,ulmus,glabra
acer freemanii   x,autumn blaze red maple,acer,freemanii
gleditsia triacanthos,moraine honeylocust,gleditsia,triacanthos
parrotia persica,vanessa persian ironwood,parrotia,persica
acer truncatum,norwegian sunset maple,acer,truncatum
prunus avium,mazzard cherry,prunus,avium
magnolia xx,magnolia ,magnolia,xx
sorbus aria,white beam mountain ash,sorbus,aria
chamaecyparis lawsoniana,lawson cypress/port orford ced,chamaecyparis,lawsoniana
taxodium ascendens,ascending bald cypress,taxodium,ascendens
cornus kousa,pink kousa dogwood,cornus,kousa
malus floribunda,japanese flowering crabapple,malus,floribunda
quercus myrsinifolia,evergreen oak,quercus,myrsinifolia
acer palmatum,osakazuki japanese maple,acer,palmatum
tilia europaea   x,european linden,tilia,europaea
acer platanoides,globehead norway maple,acer,platanoides
acer rubrum,red sunset red maple,acer,rubrum
tsuga heterophylla,western hemlock,tsuga,heterophylla
crataegus species,hawthorn species,crataegus,species
carpinus betulus,franz fontaine hornbeam,carpinus,betulus
fagus sylvatica,golden dawyck beech,fagus,sylvatica
acer platanoides,silver variegated norway maple,acer,platanoides
acer cappadocicum,red caucasian maple,acer,cappadocicum
betula pendula,young,betula,pendula
picea glauca,dwarf alberta spruce,picea,glauca
chamaecyparis obtusa,hinoki falsecypress,chamaecyparis,obtusa
fagus sylvatica,dawyck,fagus,sylvatica
zelkova serrata,green vase zelkova,zelkova,serrata
fagus sylvatica,pyramidal beech,fagus,sylvatica
crataegus oxyacantha,paul,crataegus,oxyacantha
acer campestre,queen elizabeth maple,acer,campestre
prunus serrulata,seiboldi cherry,prunus,serrulata
prunus subhirtella,whitcomb cherry,prunus,subhirtella
magnolia species,magnolia species,magnolia,species
pyrus calleryana,chanticleer pear,pyrus,calleryana
cornus kousa,japanese dogwood,cornus,kousa
magnolia soulangeana  x,saucer magnolia,magnolia,soulangeana
nyssa sylvatica,tupelo tower blackgum,nyssa,sylvatica
prunus subhirtella,higan cherry,prunus,subhirtella
sorbus aucuparia,cardinal royal mountain ash,sorbus,aucuparia
liquidambar styraciflua,worplesdon sweetgum,liquidambar,styraciflua
crataegus lavallei  x,lavallei hybrid hawthorn,crataegus,lavallei
populus trichocarpa,black cottonwood,populus,trichocarpa
fagus sylvatica,obelisk beech,fagus,sylvatica
malus zumi,redbud crabapple,malus,zumi
zelkova serrata,village green zelkova,zelkova,serrata
fagus sylvatica,purple dawyck beech,fagus,sylvatica
prunus cerasifera,thundercloud purple plum,prunus,cerasifera
cornus kousa,chinese kousa dogwood,cornus,kousa
quercus robur,pyramidal english oak,quercus,robur
catalpa bignonioides,common catalpa,catalpa,bignonioides
betula pendula,pyramidal european birch,betula,pendula
fraxinus pennsylvanica,bergeson ash,fraxinus,pennsylvanica
prunus serrulata,shirofugen cherry,prunus,serrulata
salix species,willow species,salix,species
styrax japonica,japanese snowbell,styrax,japonica
acer freemanii   x,morgan red maple,acer,freemanii
fraxinus oxycarpa,raywood ash,fraxinus,oxycarpa
fraxinus species,ash species,fraxinus,species
prunus avium,wild cherry,prunus,avium
acer freemanii   x,freeman,acer,freemanii
fagus sylvatica,fernleaf copper beech,fagus,sylvatica
acer pennsylvanicum,snakebark maple,NA,NA
tilia cordata,chancellor linden,tilia,cordata
pyrus calleryana,aristocrat pear,pyrus,calleryana
fagus sylvatica,golden beech,fagus,sylvatica
acer campestre,red shine maple,acer,campestre
carpinus caroliniana,pyramidal american hornbeam,carpinus,caroliniana
sorbus aria,golden whitebeam,sorbus,aria
quercus palustris,green pillar pin oak,quercus,palustris
platanus acerifolia   x,bloodgood plane tree,platanus,acerifolia
gleditsia triacanthos,sunburst honeylocust,gleditsia,triacanthos
pyrus calleryana,capital pear,pyrus,calleryana
acer platanoides,princeton gold maple,acer,platanoides
acer platanoides,emerald lustre norway maple,acer,platanoides
picea species,spruce species,picea,species
acer davidii,pere davids maple,acer,davidii
robinia pseudoacacia,gold leaf black locust,robinia,pseudoacacia
prunus serrulata,pink perfection cherry,prunus,serrulata
fagus sylvatica,icefire upright beech,fagus,sylvatica
fagus sylvatica,purple beech,fagus,sylvatica
acer cappadocicum,caucasian maple,acer,cappadocicum
magnolia loebneri  x,magnolia ,magnolia,loebneri
cornus xx,eddies white wonder dogwood,cornus,xx
gleditsia triacanthos,halka honeylocust,gleditsia,triacanthos
amelanchier grandiflora x,apple serviceberry,amelanchier,grandiflora
fagus crenata,japanese beech,fagus,crenata
acer species,maple species,acer,species
magnolia grandiflora,victoria magnolia,magnolia,grandiflora
styrax japonica,snowcone japanese snowbell,styrax,japonica
juglans regia,carpathian walnut,juglans,regia
fraxinus excelsior,golden european ash,fraxinus,excelsior
prunus virginiana,bailey select chokecherry,prunus,virginiana
acer miyabei,rugged ridge miyabe maple,acer,miyabei
liriodendron tulipifera,arnold tuliptree,liriodendron,tulipifera
fagus sylvatica,fernleaf beech,fagus,sylvatica
quercus garryana,garry oak,quercus,garryana
acer rubrum,autumn flame red maple,acer,rubrum
quercus frainetto,hungarian oak,quercus,frainetto
crataegus mordensis,snowbird hawthorn,crataegus,mordensis
cornus species,dogwood species,cornus,species
sorbus alnifolia,alderleafed mountain ash,sorbus,alnifolia
styrax obassia,fragrant snowbell,styrax,obassia
tilia cordata,degroot linden,tilia,cordata
gleditsia triacanthos,imperial honeylocust,gleditsia,triacanthos
prunus species,plum or peach species cherry,prunus,species
acer platanoides,fairview norway maple,acer,platanoides
acer platanoides,emerald queen norway maple,acer,platanoides
fraxinus pennsylvanica,prairie spire green ash,fraxinus,pennsylvanica
cupressocyparis   x leylandii,leyland cypress,cupressocyparis,leylandii
malus species,apple species,malus,species
prunus cerasifera,purple haze plum,prunus,cerasifera
chamaecyparis pisifera,sawara falsecypress,chamaecyparis,pisifera
castanea sativa,spanish chestnut,castanea,sativa
nyssa sylvatica,wildfire blackgum,nyssa,sylvatica
acer platanoides,conquest maple,acer,platanoides
parrotia persica,inges ruby vase ironwood,parrotia,persica
carpinus betulus,lucas columnar hornbeam,carpinus,betulus
robinia pseudoacacia,globe or mophead acacia,robinia,pseudoacacia
fagus sylvatica,copper beech,fagus,sylvatica
tilia americana,big leaf linden,tilia,americana
acer rubrum,northwood red maple,acer,rubrum
ostrya virginiana,eastern hornbeam,ostrya,virginiana
prunus sargentii,columnar sargent cherry,prunus,sargentii
malus xx,red jewel crabapple,malus,xx
ginkgo biloba,ginkgo or maidenhair tree,ginkgo,biloba
fraxinus pennsylvanica,autumn gold ash,fraxinus,pennsylvanica
nyssa sylvatica,green gable blackgum,nyssa,sylvatica
cercidiphyllum japonicum,red fox katsura,cercidiphyllum,japonicum
acer rubrum,karpick red maple,acer,rubrum
malus xx,snowcloud crabapple,malus,xx
acer campestre,evelyn hedge maple,acer,campestre
tilia platyphyllos,bigleaf linden,tilia,platyphyllos
sorbus species,mountain ash species,sorbus,species
thuja plicata,golden giant arborvitae,thuja,plicata
acer platanoides,crimson sentry norway maple,acer,platanoides
prunus serrulata,great white cherry,prunus,serrulata
chamaecyparis lawsoniana,weeping lawson cypress,chamaecyparis,lawsoniana
aesculus carnea   x,ruby red horsechestnut,aesculus,carnea
chamaecyparis pisifera,moss sawara falsecypress,chamaecyparis,pisifera
malus pumila,common apple,malus,pumila
fraxinus pennsylvanica,summit ash,fraxinus,pennsylvanica
abies koreana,korean fir,abies,koreana
acer campestre,metro gold maple,acer,campestre
sorbus aria,majestic whitebeam,sorbus,aria
acer palmatum,red japanese maple,acer,palmatum
acer palmatum,bloodgood japanese maple,acer,palmatum
alnus glutinosa,european black alder,alnus,glutinosa
prunus serrulata,snow goose cherry,prunus,serrulata
picea omorika,bruns serbian spruce,picea,omorika
castanea species,chestnut species,castanea,species
acer rubrum,redpointe maple,acer,rubrum
fagus sylvatica,purple fountain beech,fagus,sylvatica
fraxinus excelsior,westhofs glorie european ash,fraxinus,excelsior
mespilus germanica,medlar apple,mespilus,germanica
prunus domestica,common plum,prunus,domestica
cornus officinalis,cornel dogwood,cornus,officinalis
malus xx,royalty crabapple,malus,xx
aesculus hippocastanum,baumann,aesculus,hippocastanum
malus pendula,weeping crabapple,malus,pendula
acer platanoides,superform norway maple,acer,platanoides
crataegus douglasii,douglas hawthorn,crataegus,douglasii
rhamnus purshiana,cascara,rhamnus,purshiana
chamaecyparis species,falsecypress species,chamaecyparis,species
fagus sylvatica,round leaf beech,fagus,sylvatica
acer platanoides,cutleaf norway maple,acer,platanoides
cornus controversa,giant dogwood,cornus,controversa
malus xx,tchonoski crabapple,malus,xx
liriodendron chinense,wild dragon chinese tuliptree,liriodendron,chinense
ilex species,holly species,ilex,species
carpinus betulus,globe hornbeam,carpinus,betulus
tsuga mertensiana,mountain black hemlock,tsuga,mertensiana
cornus kousa,china girl dogwood,cornus,kousa
prunus x hillieri,hillier spire cherry,prunus,hillieri
abies grandis,grand fir,abies,grandis
acer rubrum,columnar red maple,acer,rubrum
prunus subhirtella,autumn higan cherry,prunus,subhirtella
pyrus species,pear species,pyrus,species
prunus blireana,purple plum,prunus,blireana
thuja occidentalis,pyramidal arborvitae,thuja,occidentalis
acer platanoides,purple norway maple,acer,platanoides
acer argutum,pointed leaf maple,acer,argutum
acer platanoides,royal red norway maple,acer,platanoides
malus coronaria,wild sweet crabapple,malus,coronaria
crataegus monogyna,single seed hawthorn,crataegus,monogyna
prunus virginiana,commom chokecherry,prunus,virginiana
acer platanoides,deborah norway maple,acer,platanoides
amelanchier laevis,allegheny serviceberry,amelanchier,laevis
acer cissifolium,,acer,cissifolium
liriodendron chinense,chinese tuliptree,liriodendron,chinense
picea abies,christina columnar spruce,picea,abies
ficus carica,common fig,ficus,carica
prunus cocomilia,italian plum,prunus,cocomilia
cornus nuttallii,goldspot dogwood,cornus,nuttallii
malus xx,prairie fire crabapple,malus,xx
laburnum watereri  x,waterer goldenchain tree,laburnum,watereri
acer palmatum,taija japanese maple,acer,palmatum
acer saccharinum,wier cutleaf silver maple,acer,saccharinum
prunus sweetheart,sweetheart cherry,prunus,sweetheart
prunus serrulata,weeping japanese cherry,prunus,serrulata
